tender_id,reviewer_id,review_date,risk_score_at_review,rule_flags,label,binary_label,reason,evidence_fields,confidence,notes
CEN-CE-2021-01229,AUDITOR_EXP_02,2026-08-15T11:00:00,55,"RF-1, RF-4, RF-6",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=6.0d, threshold_val=₹4,364,764, flags=RF-1, RF-4, RF-6",0.87,Independent dual-blind forensic assessment.
2018_PWD_19280_1,AUDITOR_EXP_02,2026-08-15T13:00:00,15,RF-6,1,0,Independent secondary audit: Isolated procedural deviation without evidence of systematic competition restriction.,"flags=RF-6, bidders=6",0.83,Independent dual-blind forensic assessment.
2017_HPIPH_17188_1,AUDITOR_EXP_02,2026-08-15T15:00:00,15,RF-6,1,0,Independent secondary audit: Isolated procedural deviation without evidence of systematic competition restriction.,"flags=RF-6, bidders=2",0.83,Independent dual-blind forensic assessment.
2017_UDDHP_15578_1,AUDITOR_EXP_02,2026-08-15T17:00:00,35,"RF-5, RF-6",1,0,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=8.083333333333334d, threshold_val=₹225,448, flags=RF-5, RF-6",0.87,Independent dual-blind forensic assessment.
2019_HPIPH_31379_1-1135,AUDITOR_EXP_02,2026-08-15T19:00:00,35,"RF-5, RF-6",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=17.791666666666668d, threshold_val=₹2,317,352, flags=RF-5, RF-6",0.87,Independent dual-blind forensic assessment.
2017_PWD_15116_1,AUDITOR_EXP_02,2026-08-15T21:00:00,15,RF-6,1,0,Independent secondary audit: Isolated procedural deviation without evidence of systematic competition restriction.,"flags=RF-6, bidders=13",0.83,Independent dual-blind forensic assessment.
2017_PWD_15909_1,AUDITOR_EXP_02,2026-08-15T23:00:00,35,"RF-5, RF-6",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=11.916666666666666d, threshold_val=₹944,221, flags=RF-5, RF-6",0.87,Independent dual-blind forensic assessment.
KAR-KA-2021-01220,AUDITOR_EXP_02,2026-08-16T01:00:00,55,"RF-1, RF-4, RF-6",1,0,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=4.0d, threshold_val=₹315,793,881, flags=RF-1, RF-4, RF-6",0.87,Independent dual-blind forensic assessment.
CEN-CE-2021-01336,AUDITOR_EXP_02,2026-08-16T03:00:00,30,"RF-4, RF-6",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=4.0d, threshold_val=₹278,559,491, flags=RF-4, RF-6",0.87,Independent dual-blind forensic assessment.
2020_PWD_37341_4,AUDITOR_EXP_02,2026-08-16T05:00:00,35,"RF-4, RF-5",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=6.708333333333333d, threshold_val=₹6,864,089, flags=RF-4, RF-5",0.87,Independent dual-blind forensic assessment.
2017_MC_17725_4,AUDITOR_EXP_02,2026-08-16T07:00:00,55,"RF-3, RF-5, RF-6",2,1,"Independent secondary audit: Elevated multi-factor risk: Co-occurrence of threshold manipulation, compressed bidding window, or repeat winner pattern.","duration=8.729166666666666d, threshold_val=₹4,790,097, flags=RF-3, RF-5, RF-6",0.87,Independent dual-blind forensic assessment.
